trend;plunge;pdir
349;18;w
043;24;w
061;21;e
329;19;e
008;24;s
301;36;w
063;14;w
013;43;n
036;03;e
287;15;w
064;07;w
070;36;e
286;01;n
293;23;e
058;02;w
060;39;w
038;36;e
327;09;e
346;03;s
340;12;e
028;04;w
032;39;e
329;09;w
338;15;w
027;01;n
341;08;w
330;45;w
333;10;w
071;33;e
318;16;e
308;04;s
015;02;e
027;07;e
030;06;e
341;36;n
081;39;e
326;12;w
002;01;e
314;45;w
039;04;w
286;15;w
054;14;w
345;08;w
054;42;e
028;05;w
051;07;w
311;27;w
014;39;w
310;27;w
042;16;e
322;21;w
287;20;w
073;32;w
034;38;w
288;38;w
070;09;w
046;46;e
063;03;w
042;31;w
346;34;w
347;22;w
303;36;w
077;08;e
057;36;w
034;05;e
062;03;n
306;31;e
049;21;e
323;09;w
335;13;e
328;43;n
342;19;w
022;38;e
046;03;w
066;25;w
324;24;e
022;32;w
042;33;e
312;14;w
032;26;w
283;03;w
310;21;w
348;41;n
059;37;w
305;20;w
316;07;e
020;28;e
341;41;n
082;38;w
062;26;e
032;43;e
053;30;s
319;10;e
345;02;e
067;31;w
339;15;w
064;15;w
038;40;w
285;05;w
312;01;e
061;30;w
081;43;n
346;29;w
331;39;w
035;45;e
029;20;w
306;35;e
084;07;w
020;33;e
294;38;e
313;10;w
030;25;w
043;01;e
025;33;e
041;39;w
047;39;w
280;16;e
300;04;w
061;34;e
042;25;w
308;21;w
328;28;w
333;37;w
078;14;w
336;29;w
321;10;w
345;05;w
314;10;e
318;27;e
077;27;e
294;28;e
322;05;e
310;27;e
010;04;e
297;06;w
316;02;w
290;14;e
323;04;w
284;10;e
078;05;w
044;20;w
313;03;w
060;18;w
014;26;s
289;05;w
321;06;e
328;09;e
064;27;e
071;02;e
027;11;w
349;28;w
037;42;w
308;11;e
336;07;e
052;35;e
343;13;e
313;04;w
310;24;e
307;09;w
320;23;e
052;16;w
028;04;e
037;32;e
040;41;e
076;08;e
056;34;w
331;31;w
066;27;e
296;26;w
306;17;e
314;06;w
346;01;w
308;43;n
030;37;s
034;24;e
311;18;e
013;13;w
066;28;w
060;32;e
024;39;s
290;40;w
018;28;e
036;30;w
043;35;e
292;23;e
308;18;e
015;26;w
329;21;e
044;21;w
056;33;e
288;03;w
331;21;w
047;08;e
307;35;e
059;19;e
284;15;e
020;33;e
028;09;w
302;25;e
039;12;e
294;03;w
305;12;e
304;20;w
310;16;w
307;14;e
057;19;w
288;02;w
031;16;e
306;14;e
063;18;w
332;28;w
070;23;e
069;07;e
324;28;e
034;18;e
054;18;w
312;08;w
074;33;e
298;03;w
026;07;w
046;06;w
293;22;w
301;06;w
315;03;w
324;30;e
343;12;e
300;24;e
047;12;w
308;06;e
019;04;e
272;28;e
046;17;w
287;21;w
032;22;e
318;44;w
052;20;e
069;06;w
288;07;e
306;02;w
065;30;e
072;20;w
045;31;e
059;06;w
037;18;e
028;02;w
027;12;e
046;29;e
308;31;w
325;07;w
332;41;w
299;15;e
056;42;e
058;32;e
303;29;w
326;22;e
314;09;e
048;47;e
052;40;e
334;14;w
065;22;e
072;08;e
062;09;w
028;22;e
350;36;w
337;42;e
019;41;e
338;02;w
349;02;e
050;24;w
060;02;e
034;38;e
057;22;e
041;24;w
084;14;e
073;02;n
342;12;w
014;23;e
049;12;e
309;42;e
030;13;w
314;04;s
070;08;w
019;41;e
312;33;w
033;26;e
314;04;w
024;05;n
337;32;e
015;34;e
313;03;w
065;14;e
024;30;w
066;01;s
053;21;e
022;04;e
062;24;w
325;46;e
320;08;w
306;08;w
042;30;e
016;38;e
040;07;w
037;14;e
301;04;w
065;09;w
338;09;e
338;38;e
053;22;e
303;07;e
346;34;e
030;10;w
030;04;n
339;43;n
321;36;e
300;02;w
035;35;e
352;25;e
039;30;w
070;01;w
024;11;e
040;22;w
066;40;e
330;27;w
050;27;e
323;09;e
027;10;e
034;11;e
336;04;e
292;14;w
349;04;w
351;28;w
295;33;e
338;13;w
320;25;e
324;14;w
036;12;e
055;12;w
045;32;e
046;07;e
045;38;e
341;07;w
023;05;e
293;24;e
324;06;w
039;08;w
334;38;s
056;16;e
041;30;e
015;07;w
302;12;e
307;08;w
346;02;w
022;05;e
312;11;w
314;05;w
045;14;w
073;30;w
070;18;e
341;38;w
057;42;w
022;36;w
326;08;w
320;02;e
048;18;w
354;26;w
333;47;e
056;31;e
026;26;w
038;22;e
337;08;e
016;11;e
322;29;w
055;04;e
290;08;e
048;08;w
296;10;w
089;42;e
324;13;e
311;01;e
060;17;w
292;23;e
321;03;e
306;23;w
050;33;w
042;41;w
304;05;w
020;48;w
318;20;w
282;26;e
063;03;w
330;37;e
067;32;e
031;38;w
030;19;e
312;13;e
086;26;w
304;04;e
061;24;e
320;06;w
056;29;w
295;15;e
330;31;w
064;37;e
042;10;w
029;28;e
015;26;w
314;09;e
304;23;e
048;35;w
340;02;e
036;32;e
333;30;e
043;14;w
037;25;w
308;25;w


