trend;plunge;pdir
007;08;w
032;02;e
014;33;w
034;04;e
032;05;s
340;19;w
340;04;n
332;04;s
064;03;s
064;38;w
015;02;n
332;08;w
047;37;w
333;28;w
020;03;e
328;06;e
330;31;w
328;46;w
012;38;w
075;07;w
056;34;w
016;32;w
308;35;w
064;06;e
316;06;e
301;30;e
026;33;e
025;18;e
303;22;e
335;44;w
054;10;e
340;04;e
312;18;e
021;26;w
337;28;w
332;32;e
027;42;e
042;09;w
275;38;w
345;46;w
285;10;w
060;25;e
028;27;e
022;29;w
069;24;w
336;05;e
042;11;w
068;40;e
027;37;e
083;40;e
324;07;e
295;28;w
278;17;e
023;30;e
012;05;e
326;11;w
028;29;w
291;08;w
301;47;w
022;17;w
318;26;w
016;03;e
044;03;e
035;23;w
322;01;n
018;17;w
018;15;w
290;39;s
328;39;w
310;29;e
320;04;s
055;14;w
026;01;e
033;28;w
060;16;e
046;23;w
037;03;n
336;32;e
013;45;e
349;21;w
034;30;e
021;25;w
358;12;w
035;16;w
030;36;e
285;33;w
347;36;e
332;28;e
337;28;w
352;40;w
349;04;e
033;24;e
333;05;e
323;38;w
338;07;w
044;18;w
309;32;w
298;45;w
345;30;w
274;37;w
044;08;e
069;21;w
018;37;e
343;36;e
066;15;w
016;36;e
028;16;e
337;36;e
284;11;e
074;20;w
034;19;e
302;26;e
043;34;e
337;39;e
338;26;w
346;37;e
348;16;w
073;08;e
023;25;e
308;36;e
024;05;e
291;21;w
052;04;e
298;04;e
342;22;w
032;20;e
005;10;w
302;01;w
318;20;w
063;30;e
310;10;w
271;04;w
066;53;w
305;07;w
300;30;w
3180;14;e
033;27;w
300;48;w
056;23;w
289;08;w
331;05;e
020;28;w
333;07;e
027;08;w
050;05;e
321;48;e
343;21;w
351;10;w
321;31;e
303;12;w
345;02;w
330;22;e
303;04;e
341;07;w
306;34;w
349;31;w
300;01;w
062;04;w
335;08;e
298;07;e
308;37;w
343;49;w
054;31;e
005;13;w
347;41;e
347;04;s
301;08;e
055;40;e
346;07;e
315;03;e
060;16;w
015;38;e
024;21;w
028;38;w
074;37;e
070;24;e
070;24;e
062;28;e
035;26;w
291;05;e
334;06;e
033;32;w
018;08;e
345;19;w
054;20;w
053;50;w
304;45;w
304;04;n
282;35;w
323;22;e
030;10;w
027;29;w
072;22;w
308;37;e
344;05;e
062;34;e
314;34;e
056;08;w
022;24;e
034;36;e
285;38;w
047;28;w
042;13;w
311;16;e
354;04;w
289;21;e
039;20;w
069;01;e
316;05;e
024;31;e
287;12;w
002;02;e
046;12;w
043;44;w
349;08;w
012;39;w
297;23;e
031;11;w
036;07;e
329;31;e
317;04;w
017;08;e
340;23;w
287;25;e
045;31;e
035;26;e
325;10;e
306;12;w
052;04;e
322;03;w
068;29;e
343;08;e
328;33;e
312;07;e
304;08;w
307;16;w
027;33;w
346;13;w
041;34;e
046;18;w
035;36;e
038;28;e
062;01;e
078;22;w
063;05;w
309;19;e
015;22;e
025;19;e
322;15;e
337;27;w
044;38;w
295;25;e
307;35;s
354;11;e
322;25;w
298;38;w
343;06;e
343;02;e
298;14;w
311;35;e
070;07;e
287;36;e
063;33;e
327;15;w
314;16;e
305;42;w
071;37;w
347;18;e
059;03;w
027;03;w
325;37;e
301;09;w
021;14;w
062;39;e
280;32;e
048;35;e
044;13;e
023;15;w
061;39;e
023;08;w
351;11;w
310;10;w
304;11;e
020;39;e
298;22;e
343;25;w
034;06;e
304;03;w
049;08;e
048;10;e
050;01;e
032;04;e
338;07;e
338;24;w
298;26;e
047;31;e
339;10;e
033;36;w
311;29;e
047;06;e
076;03;w
027;08;w
047;12;e
343;10;e
024;20;w
333;12;w
031;49;w
336;17;e
281;11;w
281;04;s
308;34;e
309;29;w
081;09;e
292;06;e
273;38;w
063;19;w
054;45;w
290;19;w
033;18;w
299;45;w
022;44;w
024;22;w
346;39;e
318;39;w
304;12;e
300;17;e
322;22;w
290;20;w
279;06;e
325;32;w
313;13;e
045;10;w
350;18;w
025;07;w
305;28;e
062;14;w
351;15;e
303;40;e
071;04;w
293;12;w
344;05;w
067;30;e
066;09;e
045;32;e
329;34;w
066;04;w
053;06;e
292;06;e
344;15;w
018;03;w
305;41;e
061;18;w
075;05;w
306;08;e
312;48;w
026;03;e
331;37;w
309;31;w
307;22;w
026;33;e
042;34;e
065;15;e
329;33;w
311;38;w
302;18;e
037;35;e
064;14;e
331;09;w
032;08;w
308;22;e
340;21;w
024;29;e
306;34;e
331;25;w
338;24;e
058;27;e
043;12;w
069;15;e
280;17;e
274;05;w
033;40;w
027;24;w
278;22;e
285;41;w
304;29;e
288;30;e
313;10;w
080;43;e
302;27;e
315;31;w
328;24;w
041;29;e
083;24;w
329;21;w
036;16;w
041;35;w
069;19;e
072;10;w
008;30;w
300;06;e
285;07;w
333;35;e
326;37;w
014;13;w
042;05;w
281;22;e
047;13;e
035;19;w
019;26;w
052;23;w
035;29;w
042;11;w
339;12;w
336;36;w
048;34;e
311;15;e
027;15;w
027;04;n
