trend;plunge;pdir
328;34;w
311;05;w
352;45;e
032;28;w
032;16;e
055;03;s
062;32;e
032;04;n
303;30;w
285;26;w
074;38;w
031;12;e
055;11;e
055;03;s
008;33;w
331;21;w
032;04;e
059;06;w
059;05;n
036;28;w
018;38;e
016;33;w
298;05;w
292;06;w
292;02;n
036;10;w
332;03;e
340;11;w
280;08;e
318;32;w
318;03;w
064;33;w
314;04;e
330;11;e
063;18;e
334;13;e
322;22;e
340;15;e
276;28;e
073;08;e
342;36;e
317;37;w
020;13;w
352;09;e
034;14;e
320;35;w
292;10;e
316;24;n
038;21;w
021;09;w
302;49;e
355;32;s
299;26;w
328;24;w
056;32;e
031;24;e
040;35;e
068;41;e
068;41;e
345;05;e
061;40;w
047;34;e
345;19;e
314;40;e
020;44;e
306;26;w
060;49;e
050;19;e
296;05;w
021;02;w
312;23;w
024;35;e
010;36;w
086;10;e
019;34;e
351;02;w
058;33;w
049;16;w
321;07;w
290;15;e
340;19;w
342;09;e
065;41;w
042;04;e
298;12;e
049;12;w
316;24;e
056;30;w
313;06;w
345;11;w
338;23;w
291;43;e
315;45;e
041;23;w
035;21;w
036;40;w
039;18;w
344;44;w
337;23;w
052;11;w
013;30;e
336;27;w
340;14;w
007;21;w
051;40;e
312;35;e
306;16;w
337;39;e
314;18;e
037;04;e
317;22;e
043;33;w
074;40;e
313;23;e
022;40;e
349;09;e
042;20;e
310;10;w
033;49;w
046;24;w
316;04;w
289;14;w
044;30;w
320;30;w
320;39;e
050;17;e
331;16;w
348;08;w
334;46;e
303;20;w
049;27;e
284;27;e
326;08;w
322;28;w
326;28;w
287;02;w
037;22;e
274;03;e
335;11;e
313;42;e
304;41;w
359;03;w
042;29;w
304;10;w
034;14;w
061;39;w
062;08;w
295;05;e
336;50;w
016;25;w
028;12;w
073;41;w
292;35;e
062;33;e
294;08;w
327;10;e
309;35;e
013;16;e
066;14;w
054;17;e
052;29;w
043;39;e
074;26;e
045;19;w
030;17;e
079;27;e
029;28;e
039;24;e
055;09;e
078;08;e
329;08;w
019;19;e
070;31;w
348;04;e
301;24;w
050;43;e
334;09;e
294;37;e
060;33;e
309;16;e
050;26;e
352;35;e
046;26;e
331;40;e
312;35;e
299;12;w
317;30;e
288;08;w
320;32;e
038;44;w
353;40;e
033;13;e
338;24;e
048;18;w
010;21;w
012;13;e
315;43;e
316;27;e
076;34;e
029;06;w
318;28;w
276;29;e
047;33;w
053;27;e
321;36;w
336;16;e
046;35;e
353;11;e
324;38;w
042;28;w
042;04;n
014;36;w
070;35;e
357;12;w
051;33;w
308;41;e
041;39;w
292;12;e
044;09;w
047;25;e
294;29;e
030;12;w
023;17;w
029;36;w
296;19;w
323;38;w
315;10;w
307;18;e
321;40;w
343;32;w
318;10;e
348;12;w
068;04;e
041;43;w
285;02;w
341;06;w
301;04;w
011;36;w
333;23;w
332;09;w
321;36;w
296;24;e
062;36;w
047;23;w
017;10;w
357;09;e
058;11;e
347;36;w
343;02;w
349;39;n
344;27;w
356;11;w
288;29;w
340;32;e
285;32;e
083;28;w
297;23;e
030;04;e
051;39;w
044;03;e
046;36;e
060;30;e
316;11;w
067;05;w
339;08;w
043;10;w
288;24;e
354;21;w
023;17;w
062;39;e
338;38;w
333;14;e
306;34;e
341;31;e
050;09;e
343;38;w
032;04;w
049;16;w
344;44;e
052;04;e
040;30;e
310;24;w
330;34;w
307;27;w
025;02;w
297;09;e
062;24;w
294;39;w
055;34;w
292;20;e
284;09;e
024;12;e
007;02;e
022;36;w
326;12;e
292;17;w
064;30;e
062;19;w
340;07;e
335;12;w
310;36;e
032;16;e
070;23;e
307;22;e
040;08;w
288;04;e
287;06;e
062;05;e
067;32;e
320;36;e
312;02;w
046;24;w
020;07;w
310;04;w
089;06;e
295;13;w
014;39;e
020;04;e
336;31;e
342;30;e
056;07;e
315;12;w
023;42;e
310;38;e
053;44;w
064;10;w
027;22;e
028;07;w
318;33;w
312;14;e
028;26;w
031;28;w
330;38;e
332;24;e
027;29;w
043;12;w
337;10;w
299;13;w
278;07;e
022;20;w
045;20;w
308;44;e
307;37;e
322;25;w
301;06;w
067;24;w
324;36;e
291;23;w
037;02;w
016;21;e
044;18;w
052;46;e
059;30;w
051;04;w
296;06;e
028;39;s
329;28;w
043;05;w
032;33;w
050;30;w
037;04;e
040;28;e
062;36;e
291;23;w
337;21;e
025;12;e
307;10;e
050;34;e
047;25;w
069;20;w
056;07;e
042;18;e
084;38;w
063;25;w
330;18;w
035;15;w
318;07;e
339;20;w
044;17;e
338;28;w
297;08;e
300;22;w
048;19;w
014;31;w
062;05;e
068;05;e
053;20;e
050;16;w
299;35;e
295;10;e
315;16;e
292;27;e
344;22;w
054;38;w
073;12;w
027;39;e
028;30;e
298;38;w
305;11;e
293;12;e
073;03;w
053;17;e
336;09;w
025;21;w
322;17;w
331;26;e
318;14;e
350;16;e
028;22;e
051;13;e
026;22;e
026;03;s
302;39;w
315;24;e
304;10;w
293;28;e
339;30;w
339;04;n
071;04;e
043;12;w
337;10;w
299;13;w
278;07;e
022;20;w
045;20;w
308;44;e
307;37;e
322;25;w
301;29;w
028;06;w
067;24;w
324;36;e
297;23;w
037;02;w
016;21;e
044;18;w
052;46;e
059;30;w
051;04;w
296;06;e
028;39;s
329;28;w
043;05;w
032;33;w
050;30;w
037;04;e
040;28;e
062;36;e
291;23;w
337;21;e
025;12;e
307;10;e
050;34;e
047;25;w
069;20;w
056;07;e
042;18;e
084;38;w
063;25;w
330;18;w
035;15;w
