trend;plunge;pdir
291;33;n
078;12;w
024;42;n
326;15;e
320;06;e
322;29;e
322;17;e
054;41;w
053;34;w
030;20;e
042;16;e
056;12;e
029;10;w
064;06;e
088;04;e
327;26;e
324;01;e
062;17;w
245;02;n
001;38;s
016;01;e
318;38;e
312;26;e
330;19;w
072;28;w
004;39;s
323;29;w
040;09;w
063;34;e
306;04;w
311;22;e
039;07;e
308;21;w
341;03;w
317;26;e
328;32;n
038;10;w
302;17;s
050;15;w
056;03;e
355;13;w
310;30;n
045;35;w
059;01;e
041;14;e
032;13;w
042;24;w
297;42;n
079;08;w
054;22;w
021;43;n
310;23;e
038;15;e
292;37;s
041;09;w
031;26;e
280;20;e
342;15;w
052;16;e
049;11;e
060;12;e
049;19;w
304;31;s
280;15;e
055;10;e
019;20;s
080;10;w
039;24;w
328;26;e
035;13;w
313;03;w
050;10;w
294;34;s
050;26;w
282;01;n
358;07;w
345;30;s
018;05;e
051;08;w
084;44;n
039;29;s
318;48;w
296;33;s
325;06;e
276;23;n
331;06;w
310;27;w
308;36;e
320;33;n
327;10;w
271;21;n
049;22;e
328;26;w
014;01;e
053;43;n
056;28;s
025;31;e
275;38;s
036;23;s
029;38;e
043;22;w
028;43;n
049;10;w
080;02;s
030;18;e
325;13;w
295;02;n
282;44;n
044;25;e
272;14;n
323;18;w
309;28;e
030;39;w
328;13;w
036;16;w
312;09;w
331;01;n
044;23;e
064;38;w
034;25;w
053;21;w
324;11;w
004;07;w
034;14;w
343;07;w
090;02;e
309;18;e
313;11;w
355;23;w
297;35;w
298;14;w
068;14;e
023;13;w
032;33;n
076;10;w
055;18;e
048;01;s
325;18;w
017;14;w
276;39;n
271;39;s
038;08;e
334;02;e
332;16;w
045;42;e
286;02;w
271;43;n
047;09;e
079;29;n
045;11;w
304;08;e
330;30;e
037;09;e
002;43;n
001;06;e
058;01;e
044;13;e
040;35;e
034;12;e
277;24;n
052;20;e
338;15;n
085;43;n
310;24;e
321;14;w
295;15;w
295;20;e
274;43;n
047;46;w
309;38;e
042;23;w
050;20;w
049;11;e
300;11;e
320;14;e
018;34;w
325;10;w
316;26;w
335;05;w
084;15;e
016;03;w
310;10;e
339;06;e
048;42;e
280;88;w
286;15;e
033;07;w
048;35;e
024;35;e
336;25;e
028;43;w
025;35;e
074;24;e
341;35;w
033;24;w
296;11;w
054;03;e
336;08;e
039;26;e
328;05;w
023;18;e
327;06;w
026;10;e
335;06;e
013;41;w
339;35;w
032;11;w
036;38;e
029;03;e
037;37;e
330;18;w
057;18;w
308;45;w
026;06;e
349;31;w
345;02;e
314;17;w
066;47;e
027;08;e
036;40;e
013;09;w
051;31;e
298;41;s
032;24;n
311;45;w
066;47;e
052;36;e
063;02;n
011;26;e
324;36;w
331;05;e
065;34;w
280;01;s
071;04;n
352;02;n
012;01;n
302;23;e
041;26;e
309;15;e
035;18;w
069;28;w
049;38;e
049;16;e
330;36;e
297;34;s
021;36;w
308;28;e
026;44;e
322;20;w
062;11;w
324;30;w
084;03;s
295;01;n
338;01;s
042;02;n
066;06;e
043;25;e
305;22;w
307;34;e
050;39;w
005;28;e
033;28;n
044;42;e
022;33;w
307;04;e
038;16;e
048;18;w
028;36;e
023;41;w
324;11;e
044;33;n
063;36;e
280;46;e
320;12;e
340;19;w
036;32;e
066;21;e
302;07;e
314;36;s
024;34;e
324;05;w
305;35;w
289;23;s
024;46;e
040;28;e
285;01;s
039;23;w
032;01;s
321;30;w
346;02;s
033;34;w
056;08;w
313;28;e
031;33;e
310;40;w
339;08;e
039;12;e
311;14;e
035;32;w
304;20;e
338;24;w
328;13;e
319;34;e
304;14;w
318;36;e
031;35;e
035;40;w
051;18;e
048;22;e
335;30;s
328;25;e
039;08;e
331;39;e
338;06;e
047;40;e
084;39;s
064;16;w
048;18;w
321;25;w
047;16;w
059;43;e
347;29;w
053;16;e
043;08;w
309;40;w
048;18;w
047;06;e
322;24;w
316;36;e
035;09;e
036;35;e
057;27;e
058;26;e
298;39;w
323;33;w
325;35;e
282;47;e
016;23;w
046;17;e
036;47;e
310;31;n
081;39;s
291;29;e
081;38;s
340;06;e
320;16;e
024;24;w
059;04;e
065;34;e
043;39;e
332;15;e
315;38;w
038;36;e
041;03;w
345;42;w
024;42;e
294;07;e
311;21;w
319;08;w
038;31;w
043;04;e
040;23;w
035;09;e
350;38;s
052;07;e




