trend;plunge;pdir
044;42;w
351;24;w
033;14;w
028;01;e
076;24;e
006;30;n
041;38;w
042;22;w
290;14;w
043;16;w
287;01;e
035;21;e
298;30;w
318;31;n
324;43;w
020;14;e
011;14;w
311;30;e
298;01;s
047;42;e
007;49;w
316;21;w
317;30;w
358;13;e
008;26;e
327;03;w
064;18;e
068;38;w
292;16;w
023;31;w
323;30;w
040;35;e
319;07;w
010;03;e
026;32;e
307;30;w
282;04;e
040;02;s
313;17;e
298;43;n
038;13;w
050;04;e
284;21;e
327;04;n
044;02;w
031;07;w
029;33;e
337;25;w
037;43;e
048;19;w
322;12;e
298;12;e
042;42;w
326;32;w
319;30;e
294;23;e
318;47;e
308;39;e
324;37;e
029;37;w
278;27;e
073;20;w
032;45;w
043;10;e
292;42;e
301;30;e
020;38;e
063;05;w
320;13;w
322;24;e
049;18;e
068;36;e
067;40;w
297;13;w
342;13;e
052;09;e
290;07;w
341;32;w
304;37;w
061;25;w
062;21;e
290;23;e
038;44;w
016;11;e
071;08;e
059;19;w
068;26;w
009;05;e
009;38;s
029;10;e
340;13;w
072;22;w
049;42;w
059;17;w
060;29;e
058;40;w
022;08;e
024;10;w
313;11;w
336;30;e
338;09;w
030;01;w
331;26;w
346;27;w
028;05;w
052;25;e
297;04;e
051;04;w
331;03;n
293;03;n
293;39;w
063;12;w
021;03;w
022;27;e
061;09;w
022;02;s
035;22;w
025;06;w
308;02;e
302;24;e
028;10;e
340;01;n
051;32;w
314;36;w
043;15;e
343;03;e
343;32;w
034;06;e
334;18;e
065;08;e
074;04;e
341;19;e
049;10;e
349;05;w
294;17;e
288;14;e
323;09;w
297;22;e
064;04;e
342;32;w
305;20;e
024;38;w
338;04;e
052;10;e
337;11;e
074;16;e
023;02;w
309;03;w
018;37;w
327;36;e
018;12;e
075;12;e
021;05;w
030;18;e
336;31;e
337;34;e
345;31;e
284;35;w
079;16;w
065;32;w
330;09;e
010;11;w
349;35;w
305;43;w
312;27;e
312;21;w
059;07;w
352;11;w
031;16;e
025;15;e
047;09;e
284;03;w
325;11;e
027;34;e
021;08;w
355;44;s
331;16;e
034;27;e
314;03;w
050;33;w
076;43;s
063;15;e
289;22;e
300;20;e
075;19;w
313;48;e
327;34;e
327;31;e
022;31;w
038;13;w
300;22;e
021;18;w
332;11;e
318;34;w
291;33;e
058;33;w
052;32;e
326;29;e
017;27;w
335;12;w
324;32;e
037;07;e
306;22;w
024;41;e
329;14;w
012;31;e
034;06;e
053;34;w
056;13;e
012;18;e
339;05;w
050;42;e
020;38;w
310;35;w
045;09;w
040;45;e
299;37;e
040;10;e
285;38;w
012;44;w
345;38;w
048;26;e
320;24;e
068;15;w
333;28;e
293;25;w
318;23;e
066;10;w
320;02;n
068;01;s
333;04;s
293;05;s
065;20;w
051;09;w
053;38;e
310;23;e
062;19;w
318;24;e
285;12;e
058;25;w
052;23;w
064;23;e
020;27;w
018;33;w
287;14;w
343;24;e
290;20;e
015;08;w
032;40;w
049;05;e
340;31;w
073;04;w
328;18;w
067;14;w
324;32;e
326;18;w
323;34;w
316;35;w
336;12;w
330;06;w
051;14;e
025;04;w
328;28;w
042;19;e
330;29;e
299;29;e
024;04;e
335;35;w
338;30;w
023;07;e
307;09;e
021;07;e
314;11;e
310;28;w
070;34;e
042;15;w
046;08;w
045;18;w
315;03;e
324;03;w
052;31;w
044;17;e
025;21;w
089;10;e
062;06;w
072;40;e
035;09;e
036;15;e
300;24;w
061;25;w
345;20;w
058;08;w
051;20;w
012;38;w
276;05;e
065;44;w
078;35;w
342;14;e
030;30;w
045;21;w
051;28;w
027;23;w
053;32;w
308;33;w
313;38;w
051;23;w
325;29;w
291;19;e
045;28;w
308;04;n
313;01;s
051;03;n
325;04;s
027;41;w
050;41;w
289;25;e
331;33;w
033;18;n
084;33;e
037;09;e
310;18;w
032;36;e
074;15;e
297;33;w
294;28;w
045;23;w
070;16;e
314;26;w
062;36;e
328;08;w
339;28;w
070;33;e
340;14;e
030;24;w
020;03;e
337;07;w
329;32;w
070;35;w
340;28;w
348;26;e
318;36;w
066;23;w
044;06;w
078;28;e
065;03;e
062;17;e
343;30;e
068;35;w
070;21;w
043;01;w
056;13;w
316;38;w
065;21;e
301;11;e
311;10;e
300;33;e
282;24;w
034;18;w
013;31;e
034;31;w
295;16;e
021;26;n
053;32;w
332;09;w
029;19;e
311;21;e
071;32;w
083;34;e
297;33;e
282;13;e
356;02;w
339;07;w
071;05;s
083;02;n
297;01;s
282;04;s
023;29;w
041;17;e
282;01;e
326;27;e
045;27;w
308;07;e
020;12;w
040;11;e
325;26;w
038;15;w
028;09;e
321;37;e
071;19;w
319;25;w
339;37;w
278;26;e
340;23;e
054;16;w
043;35;e
037;17;e
320;37;w
338;21;e
060;07;w
327;31;w
305;11;w
031;36;w
305;11;w
023;21;w
022;32;w
338;15;w
311;17;w
053;13;e
349;37;e
342;24;e
297;11;w
033;37;e
048;37;e
312;25;e
318;15;e
342;01;n
046;29;w
017;43;e
025;45;w
