trend;plunge;pdir
034;23;e
052;23;e
029;29;e
320;22;e
010;42;n
039;25;e
030;05;e
331;20;e
041;13;e
322;11;w
328;18;e
074;37;e
302;31;e
020;24;e
292;16;e
330;27;e
323;29;e
060;15;w
034;10;w
020;02;n
292;04;s
330;03;s
323;05;n
337;37;e
028;22;e
069;19;e
339;38;e
006;13;w
286;37;e
311;38;w
330;20;e
318;15;w
048;25;e
043;27;w
340;34;w
013;06;w
051;16;e
052;24;w
049;10;e
317;19;e
034;34;e
011;20;e
348;42;n
329;18;e
017;40;s
039;25;w
030;38;e
281;39;w
031;40;e
018;06;w
017;40;w
033;31;e
036;01;w
320;13;w
029;31;w
330;32;w
006;05;w
030;07;e
039;30;e
316;36;e
066;23;w
021;43;s
337;39;e
014;04;w
349;03;w
018;32;w
341;30;s
330;23;e
054;29;e
330;37;e
038;30;e
044;27;e
340;33;w
324;29;w
288;14;w
031;18;n
277;19;w
286;07;w
053;38;e
057;46;e
324;43;e
081;35;e
046;10;e
319;44;s
312;18;e
036;29;e
036;40;e
039;36;w
062;32;n
071;07;e
034;34;w
036;38;e
063;31;e
340;34;s
309;09;e
331;48;w
282;28;w
036;04;n
326;33;w
348;32;e
015;09;w
282;25;w
312;38;e
039;29;e
316;40;e
320;09;w
284;23;w
316;06;w
087;23;n
307;37;w
037;35;w
056;13;e
344;38;w
307;16;e
317;38;e
026;35;e
062;03;w
345;09;e
340;09;e
295;35;n
068;09;w
316;40;e
301;27;w
048;03;w
062;31;e
063;04;w
061;11;e
320;41;s
297;08;w
023;37;w
296;03;e
340;13;e
341;35;s
314;26;e
046;29;e
073;32;w
041;05;w
074;28;n
349;43;s
341;42;w
081;13;e
347;06;w
300;10;e
038;35;w
344;06;e
077;44;n
025;28;w
345;39;e
328;06;w
044;40;e
308;36;e
019;08;w
338;31;w
336;11;w
033;15;w
305;09;e
041;15;e
292;28;s
040;06;e
307;15;w
316;26;e
332;34;w
312;29;w
292;24;w
326;17;e
060;30;e
034;34;e
062;06;w
345;25;n
065;12;e
333;42;s
053;17;e
277;31;n
033;18;w
297;32;e
075;34;w
333;04;n
053;05;s
041;05;e
302;44;s
020;02;e
320;03;w
305;03;w
289;17;e
060;33;e
068;16;e
330;43;n
039;35;w
081;24;n
056;08;e
319;18;e
050;30;e
296;33;n
036;40;n
332;16;w
332;39;e
030;35;w
041;21;w
287;34;w
066;25;w
283;16;w
066;25;w
336;38;w
292;35;e
024;23;w
016;28;s
312;09;e
306;10;e
280;20;w
285;29;w
020;37;e
026;18;w
344;29;e
046;08;w
082;10;n
023;22;e
017;15;e
026;02;n
344;04;s
043;03;e
070;38;e
036;18;e
054;23;w
028;08;w
278;19;e
307;08;w
302;20;w
031;33;n
074;05;e
314;15;e
333;33;n
025;32;w
063;45;w
031;04;n
077;42;e
345;11;w
345;30;e
300;43;s
346;03;e
023;05;s
315;22;w
031;32;e
292;30;e
324;07;w
072;11;w
056;38;e
062;27;e
076;30;w
065;27;e
022;35;s
332;43;e
058;36;e
062;01;n
076;04;n
065;03;s
012;44;s
294;10;w
291;28;w
021;42;w
333;05;w
328;22;e
293;08;w
345;36;e
349;31;e
022;17;w
308;04;w
060;31;e
296;17;w
035;22;w
347;34;w
036;29;e
316;29;w
283;03;w
061;21;w
306;23;e
302;07;w
046;33;e
030;34;e
062;45;e
061;23;e
031;29;w
066;16;w
320;24;w
026;03;w
301;05;e
071;37;e
049;33;e
069;11;w
024;28;n
009;34;s
326;29;e
324;06;w
025;26;e
034;15;e
314;20;w
056;20;w
326;04;s
295;19;w
070;17;e
077;16;w
046;28;e
072;30;e
329;26;e
031;39;w
053;22;w
066;07;w
316;13;w
296;14;e
048;36;e
073;10;e
066;43;n
307;37;e
038;13;w
009;37;n
313;36;e
024;28;e
316;20;w
022;20;w
002;43;n
025;24;w
040;15;w
079;07;e
001;01;e
020;32;e
082;14;w
071;08;w
334;42;e
051;11;w
271;15;w
314;40;e
310;25;e
042;30;e
300;39;e
297;04;w
079;14;w
041;46;e
041;33;w
074;03;e
032;44;w
321;07;e
046;37;e
064;08;w
345;31;w
300;04;e
060;26;e
321;28;w
053;10;w
313;43;s
290;30;e
030;34;e
015;43;e
298;01;w
328;05;w
312;35;e
022;18;w
313;32;w
307;01;e
057;14;w
322;38;e
021;17;e
284;05;w
025;30;e
052;45;e
067;19;w
018;15;w
327;19;w
072;24;e
041;24;w
067;34;e
061;37;e
300;42;e
290;40;e
307;37;e
345;10;w
041;08;w
041;20;w
036;34;e
067;28;w
340;14;e
296;11;e
076;31;w
054;25;w
320;21;w
081;43;n
012;33;w
348;30;e
289;10;e
056;39;e
058;09;w
019;44;n
052;15;e
293;02;e
050;21;w
069;29;w
305;41;w
023;07;w
313;18;e
050;17;e
332;02;e
072;27;e
283;05;w
312;07;e
002;25;w
039;36;e
026;09;e
336;24;w
053;15;e
303;41;w
288;14;w
016;09;n
038;20;e
051;40;e
047;36;e
045;41;w
054;25;e
008;15;e
328;39;e
330;38;e
